gross_FU,gross_SC,net_FU,net_SC,time_first_sc_to_first_net_fu,electricitybill,heatingbill,grosscontractsigned,selfipa_done,zipregion_missing,evaluationtime_missing,desiredinstallationend_missing,electricitybill_missing,heatingbill_missing,aggregated_missing,desiredinstallationend_encoded,mktg_High,mktg_Low,mktg_Medium,region_High_Performer,region_Large_Solid,region_Lower,region_Medium,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
4,1,1.0,1.0,0.4907087560967027,-0.16812050979424914,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,True,False,False,False,False,True,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
2,1,1.0,1.0,-0.03901023740731605,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,0,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
5,1,3.0,1.0,1.1752648632470288,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,1,1,96.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0.52,0.5,6,8
0,1,0.0,0.0,-0.37067579132576894,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,True,False,1,1,178.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,1,0.0,0.0,-0.37067579132576894,-0.15301296102454684,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,True,False,False,False,False,True,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,1.0,-0.37067579132576894,-0.04726011963663082,-0.0069091364353513944,0.0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,False,12,12,1.0,91.0,0.1304347826086956,8,1,0,0.6666666666666666,0.0833333333333333,0.0,0.5,-2,0,0.552608695652174,0.0769230769230769,0,8
0,1,0.0,1.0,-0.37067579132576894,-0.032152570866928534,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,True,False,False,False,False,True,1,1,1.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,1,0.0,1.0,-0.37067579132576894,-0.06992144279118426,-0.008900907610077119,0.0,0,0,0,0,0,1,0,2,False,True,False,False,True,False,False,3,3,1.0,0.0,3.0,1,0,0,0.3333333333333333,0.0,0.0,1.0,-2,0,0.6266666666666667,0.25,5,8
0,2,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,0,False,True,False,False,False,True,False,10,10,0.0,2.0,3.333333333333333,8,2,0,0.8,0.2,0.0,0.1999999999999999,-3,2,0.5566666666666666,0.0909090909090909,0,5
0,1,0.0,0.0,-0.37067579132576894,0.07360027052098748,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,True,False,6,6,49.0,113.0,0.0526315789473684,6,1,0,1.0,0.1666666666666666,0.0,0.1666666666666666,0,0,0.6010526315789474,0.1428571428571428,2,5
2,1,2.0,1.0,0.037524549041930116,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,1,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,2,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,True,2,2,1.0,1.0,1.0,2,0,0,1.0,0.0,0.0,0.5,0,0,0.7200000000000001,0.3333333333333333,7,5
0,1,0.0,0.0,-0.37067579132576894,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,True,False,False,True,False,False,False,5,5,0.0,0.0,5.0,4,0,0,0.8,0.0,0.0,0.6,1,0,0.7766666666666667,0.1666666666666666,7,8
2,1,1.0,1.0,0.19520206167343773,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,2,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
4,2,3.0,1.0,0.6321401297049405,-0.0774752171760354,-0.008900907610077119,1.0,0,0,0,0,1,1,0,1,False,False,True,False,False,True,False,4,4,1.0,164.0,0.0242424242424242,3,1,0,0.75,0.25,0.0,0.75,0,0,0.6254848484848485,0.2,2,5
7,1,3.0,1.0,0.19044267027039427,-0.04726011963663082,-0.008568945747622831,0.0,0,0,0,0,0,0,0,1,True,False,False,False,False,True,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,0,True,False,False,False,True,False,False,10,10,1.0,273.0,0.0364963503649635,8,2,0,0.8,0.2,0.0,0.3,-3,3,0.5107299270072992,0.0909090909090909,0,5
0,1,0.0,1.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,True,False,1,1,36.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,1,0.0,0.0,-0.37067579132576894,-0.03970634525177968,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,True,6,6,0.0,70.0,0.0845070422535211,6,0,0,1.0,0.0,0.0,0.1666666666666666,0,0,0.6350234741784038,0.1428571428571428,3,5
0,2,0.0,0.0,-0.37067579132576894,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,5,5,0.0,63.0,0.078125,5,1,0,1.0,0.2,0.0,0.4,0,0,0.6415625,0.1666666666666666,2,5
4,1,3.0,1.0,0.47008684277471247,-0.0019374733275239558,-0.004983757633116528,0.0,0,0,0,0,0,0,0,3,True,False,False,False,True,False,False,2,2,35.0,0.0,2.0,2,1,0,1.0,0.5,0.0,0.5,0,0,0.64,0.3333333333333333,2,5
7,1,6.0,1.0,-0.12757228162850634,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,1,False,False,True,False,False,True,False,4,4,0.0,12.0,0.3076923076923077,3,0,0,0.75,0.0,0.0,0.5,-3,0,0.581153846153846,0.2,1,5
0,1,0.0,0.0,-0.37067579132576894,-0.13790541225484454,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,True,False,False,True,False,False,False,4,4,0.0,34.0,0.1142857142857142,4,0,0,1.0,0.0,0.0,0.25,0,0,0.6522857142857144,0.2,3,5
0,2,0.0,0.0,-0.37067579132576894,0.04338517298158291,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,True,False,False,False,True,False,False,5,5,1.0,140.0,0.0354609929078014,3,1,0,0.6,0.2,0.0,0.8,0,0,0.600709219858156,0.1666666666666666,2,5
1,1,1.0,1.0,-0.28548830796790275,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,1,False,False,True,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
2,1,2.0,1.0,-0.28897260327478025,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,3,False,True,False,False,False,True,False,6,6,4.0,5.0,1.0,5,1,0,0.8333333333333334,0.1666666666666666,0.0,0.1666666666666666,-3,0,0.52,0.1428571428571428,0,5
0,1,0.0,0.0,-0.37067579132576894,0.22467575821801036,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,False,True,False,False,True,False,1,1,23.0,0.0,1.0,1,1,0,1.0,1.0,0.0,1.0,0,0,0.62,0.5,2,4
3,2,2.0,1.0,0.48859750167858446,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,False,True,False,False,True,False,5,5,1.0,45.0,0.108695652173913,4,0,0,0.8,0.0,0.0,0.4,-1,0,0.6055072463768115,0.1666666666666666,6,5
2,1,1.0,1.0,-0.2876947864899311,-0.0774752171760354,-0.009232869472531406,0.0,0,0,0,0,1,0,0,1,False,True,False,False,False,True,False,3,3,0.0,0.0,3.0,2,0,0,0.6666666666666666,0.0,0.0,0.6666666666666667,0,0,0.6933333333333335,0.25,7,5
0,2,0.0,1.0,-0.37067579132576894,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,False,True,False,False,False,True,False,1,1,22.0,0.0,1.0,1,1,0,1.0,1.0,0.0,1.0,0,0,0.62,0.5,2,4
