gross_FU,gross_SC,net_FU,net_SC,time_first_sc_to_first_net_fu,electricitybill,heatingbill,netcontractsigned,selfipa_done,zipregion_missing,evaluationtime_missing,desiredinstallationend_missing,electricitybill_missing,heatingbill_missing,mktgparamscore_missing,desiredinstallationend_encoded,mktg_High,mktg_Low,mktg_Medium,region_High_Performer,region_Large_Good,region_Medium,region_Other,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
1,1,1.0,1.0,-0.2994616148214154,0.37659696803429565,-0.009672469096544817,0.0,0,0,0,0,0,1,0,3,True,False,False,False,True,False,False,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7400000000000001,0.3333333333333333,9.0,5.0
2,1,1.0,1.0,-0.13936075902003872,-0.09777220083465098,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
3,1,2.0,1.0,4.572694920286108,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
9,1,1.0,1.0,4.744099443714163,-0.116017168868072,-0.009672469096544817,0.0,0,1,0,0,0,1,1,1,False,True,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,6.0,6.0
1,1,1.0,1.0,-0.20519308626879637,-0.0430372967343879,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,True,False,False,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
11,1,10.0,1.0,-0.14853548884344703,-0.07952723280122995,-0.009672469096544817,0.0,1,0,0,0,1,1,0,0,False,False,True,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
2,1,2.0,1.0,-0.2791261174290951,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,True,False,False,True,False,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,1,0.0,1.0,-0.38125232877590903,-0.0430372967343879,-0.009672469096544817,0.0,0,0,0,0,0,1,0,2,False,False,True,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,1,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.007904289040873844,0.0,0,0,0,0,1,0,0,2,False,False,True,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
15,1,4.0,1.0,0.18603359480915765,-0.07952723280122995,-0.009672469096544817,0.0,0,1,0,0,1,1,1,1,False,True,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,6.0,6.0
6,1,3.0,1.0,-0.3015414022863448,-0.0430372967343879,-0.009672469096544817,0.0,0,0,0,0,0,1,0,2,False,True,False,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
6,1,3.0,1.0,-0.3015414022863448,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,2,False,True,False,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
4,2,2.0,1.0,0.2589954516915222,-0.07952723280122995,-0.009672469096544817,1.0,0,0,0,0,1,1,0,1,False,False,True,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,2,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,False,True,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,3,1.0,1.0,-0.20866819722770244,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,0,1,0,3,False,False,True,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,3,1.0,1.0,-0.20866819722770244,-0.07952723280122995,-0.007904289040873844,0.0,0,0,0,0,1,0,0,3,False,False,True,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
11,1,7.0,1.0,0.8741538048194445,0.10292244753298029,-0.009377772420599654,0.0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
4,4,1.0,1.0,3.7139675145586106,0.10292244753298029,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
4,2,3.0,1.0,-0.06387858201058907,-0.09047421362128256,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,1.0,1.0,-0.04531886813865263,-0.15250710493491404,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,1.0,1.0,-0.04531886813865263,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
3,1,2.0,1.0,0.18402116151158274,0.10292244753298029,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
11,1,4.0,1.0,0.5066612760108551,0.1941472877000854,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
10,1,4.0,1.0,0.5066612760108551,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,True,False,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
11,1,6.0,1.0,1.2783962236429085,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,True,False,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,1.0,1.0,-0.3677268838179876,0.029942575399296192,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,True,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.7266666666666667,0.25,9.0,5.0
1,1,1.0,1.0,-0.3677268838179876,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,True,False,False,False,False,False,True,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.7266666666666667,0.25,9.0,5.0
1,1,1.0,1.0,-0.2873205710600619,-0.02479232870096688,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,1,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
6,1,3.0,1.0,-0.30301227167073247,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,False,True,False,False,False,True,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.7066666666666668,0.3333333333333333,9.0,8.0
6,1,5.0,1.0,-0.3031770163233155,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,False,False,True,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
6,1,5.0,1.0,-0.3031770163233155,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,False,False,True,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
2,2,1.0,1.0,0.2645685539443724,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,False,False,True,False,True,False,False,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.7066666666666668,0.3333333333333333,9.0,8.0
6,1,5.0,1.0,0.3967429156542993,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,True,False,False,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
6,1,5.0,1.0,0.3967429156542993,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,True,False,False,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
15,2,2.0,1.0,-0.15070811583635138,-0.07952723280122995,-0.009672469096544817,0.0,0,1,0,0,1,1,1,0,False,True,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,6.0,6.0
17,1,11.0,1.0,-0.37790646500300734,-0.07952723280122995,-0.009672469096544817,0.0,0,1,0,0,1,1,1,1,False,True,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,6.0,6.0
12,1,1.0,1.0,5.988414894482311,0.5572221515651637,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
4,1,2.0,1.0,-0.30039638144132025,-0.07952723280122995,-0.009672469096544817,0.0,1,0,0,0,1,1,0,0,True,False,False,False,False,False,True,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7400000000000001,0.3333333333333333,9.0,5.0
0,1,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,True,False,False,False,False,False,True,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7400000000000001,0.3333333333333333,9.0,5.0
12,1,4.0,1.0,-0.31060599894421426,-0.09777220083465098,-0.009672469096544817,0.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,3.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666667,0.0,0.0,0.6933333333333335,0.25,9.0,5.0
7,3,2.0,1.0,1.250478831465966,0.2853721278671905,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,3,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.0020103555219706084,0.0,0,0,0,0,1,0,0,0,False,True,False,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,1.0,1.0,-0.2337011926972658,-0.07952723280122995,-0.009672469096544817,0.0,1,0,0,0,1,1,0,1,False,False,True,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,2,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,True,3.0,3.0,-213.0,213.0,0.014018691588785,3.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666667,0.0,2.0,0.6669470404984423,0.25,9.0,4.0
14,1,6.0,1.0,0.400844238331311,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,True,False,True,False,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
9,1,1.0,1.0,8.96979796208589,0.10292244753298029,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,False,True,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
3,4,3.0,1.0,2.0774196211594465,0.1941472877000854,-0.009672469096544817,0.0,1,0,0,0,0,1,0,0,False,False,True,False,False,False,True,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7400000000000001,0.3333333333333333,9.0,5.0
1,2,1.0,1.0,0.1771346529953221,0.09744895712295398,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,2,1.0,1.0,0.1771346529953221,-0.07952723280122995,-0.007933758708468361,0.0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
4,1,3.0,1.0,-0.14785557582974804,0.4678218082014007,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,1,0.0,1.0,-0.38125232877590903,-0.0430372967343879,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,False,True,False,True,False,False,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.7066666666666668,0.3333333333333333,9.0,8.0
0,1,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.00702019901303836,0.0,0,0,0,0,1,0,0,1,False,False,True,False,True,False,False,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.7066666666666668,0.3333333333333333,9.0,8.0
13,1,5.0,1.0,-0.11005896564652835,-0.07952723280122995,-0.009672469096544817,0.0,1,0,0,0,1,1,0,3,True,False,False,False,False,False,True,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7400000000000001,0.3333333333333333,9.0,5.0
1,1,1.0,1.0,-0.21793121562183204,-0.07952723280122995,-0.009672469096544817,1.0,0,0,0,0,1,1,0,0,False,True,False,True,False,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,1,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,False,True,False,True,False,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,1.0,1.0,-0.27474081501945413,-0.116017168868072,-0.009672469096544817,0.0,0,0,0,0,0,1,0,2,False,True,False,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
