ID,converted,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,lead_to_sc1_days,sc1_schedule_to_appointment_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,showed_up_sc1,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
106125,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
112833,0,1,1,0.0,0.0,0.0,0.0,1.0,1,1,0,1.0,1.0,0.0,1.0,0,0,0,0.62,0.5,4,4
112834,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
106134,0,8,8,1.0,5.0,0.0,0.0,1.3333333333333333,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5391666666666666,0.1111111111111111,1,5
112836,0,2,2,0.0,0.0,0.0,0.0,2.0,1,0,0,0.5,0.0,0.0,0.5,-3,0,0,0.54,0.3333333333333333,3,5
112837,0,7,7,0.0,17.0,0.0,0.0,0.3888888888888889,5,1,0,0.7142857142857143,0.14285714285714285,0.0,0.2857142857142857,-3,0,0,0.5006349206349205,0.125,1,5
112771,0,3,3,0.0,0.0,0.0,3.0,3.0,2,0,0,0.6666666666666666,0.0,0.0,0.6666666666666667,1,0,1,0.7100000000000002,0.25,9,8
112835,0,2,2,0.0,0.0,0.0,4.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,1,0.7400000000000001,0.3333333333333333,9,5
112770,0,3,3,0.0,0.0,68.0,0.0,3.0,2,0,0,0.6666666666666666,0.0,0.0,0.6666666666666667,0,0,1,0.6933333333333335,0.25,9,5
106029,0,4,4,0.0,1.0,1.0,1.0,2.0,4,0,0,1.0,0.0,0.0,0.25,0,0,1,0.6900000000000001,0.2,9,5
106066,0,2,2,0.0,0.0,0.0,0.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,0,0.7400000000000001,0.3333333333333333,9,5
111756,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,9,9
111753,0,2,2,0.0,0.0,8.0,3.0,2.0,1,0,0,0.5,0.0,0.0,1.0,1,0,1,0.7066666666666668,0.3333333333333333,9,8
106135,0,7,7,1.0,4.0,0.0,0.0,1.4,5,0,0,0.7142857142857143,0.0,0.0,0.4285714285714286,0,0,0,0.628,0.125,9,5
112832,0,2,2,0.0,0.0,0.0,0.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,0,0.7400000000000001,0.3333333333333333,9,5
111829,0,8,8,1.0,22.0,0.0,0.0,0.34782608695652173,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5194565217391304,0.1111111111111111,1,5
106104,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
106052,0,1,1,0.0,0.0,0.0,0.0,1.0,1,1,0,1.0,1.0,0.0,1.0,0,0,0,0.62,0.5,4,4
106063,0,2,2,0.0,0.0,0.0,0.0,2.0,1,0,0,0.5,0.0,0.0,0.5,-3,0,0,0.54,0.3333333333333333,7,5
106117,0,8,8,0.0,4.0,0.0,0.0,1.6,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5445,0.1111111111111111,1,5
106119,0,8,8,0.0,4.0,0.0,0.0,1.6,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5445,0.1111111111111111,1,5
106499,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
106874,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
112772,0,6,6,0.0,6.0,0.0,0.0,0.8571428571428571,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666663,-3,0,0,0.5171428571428571,0.14285714285714285,1,5
106071,0,3,3,0.0,0.0,0.0,0.0,3.0,3,1,0,1.0,0.3333333333333333,0.0,0.33333333333333337,0,0,0,0.66,0.25,4,5
112773,0,7,7,0.0,7.0,0.0,0.0,0.875,6,1,0,0.8571428571428571,0.14285714285714285,0.0,0.1428571428571429,-3,0,0,0.5246428571428571,0.125,1,5
106108,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
106044,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,0,0
111789,0,3,3,0.0,0.0,0.0,0.0,3.0,3,1,0,1.0,0.3333333333333333,0.0,0.33333333333333337,0,0,0,0.66,0.25,4,5
111830,0,1,1,0.0,0.0,0.0,0.0,1.0,1,1,0,1.0,1.0,0.0,1.0,0,0,0,0.62,0.5,4,4
106078,0,9,9,0.0,4.0,0.0,0.0,1.8,7,1,0,0.7777777777777778,0.1111111111111111,0.0,0.2222222222222222,-2,0,0,0.5582222222222223,0.1,1,8
106093,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
106083,0,1,1,0.0,0.0,0.0,1.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
106053,0,1,1,0.0,0.0,0.0,3.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
106073,0,4,4,0.0,0.0,1.0,5.0,4.0,3,0,0,0.75,0.0,0.0,0.75,1,0,1,0.7716666666666666,0.2,9,8
106075,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,9,9
106040,0,3,3,0.0,0.0,0.0,0.0,3.0,3,0,0,1.0,0.0,0.0,0.33333333333333337,0,0,0,0.7266666666666667,0.25,9,5
111764,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,9,9
106058,0,3,3,0.0,1.0,1.0,1.0,1.5,3,0,0,1.0,0.0,0.0,0.33333333333333337,0,0,1,0.6966666666666667,0.25,9,5
140464,0,6,6,0.0,7.0,0.0,0.0,0.75,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666663,-3,0,0,0.515,0.14285714285714285,1,5
112774,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
112775,0,6,6,0.0,6.0,0.0,0.0,0.8571428571428571,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666663,-3,0,0,0.5171428571428571,0.14285714285714285,1,5
112776,0,7,7,0.0,6.0,0.0,0.0,1.0,6,1,0,0.8571428571428571,0.14285714285714285,0.0,0.1428571428571429,-3,0,0,0.5271428571428571,0.125,1,5
106109,0,8,8,0.0,2.0,0.0,0.0,2.6666666666666665,5,1,0,0.625,0.125,0.0,0.375,-3,0,0,0.5408333333333333,0.1111111111111111,1,5
111809,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
106112,0,3,3,0.0,0.0,0.0,0.0,3.0,3,1,0,1.0,0.3333333333333333,0.0,0.33333333333333337,0,0,0,0.66,0.25,4,5
106126,0,1,1,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
111837,0,5,5,0.0,1.0,0.0,0.0,2.5,5,1,0,1.0,0.2,0.0,0.19999999999999996,0,0,0,0.65,0.16666666666666666,4,5
106100,0,5,5,0.0,1.0,2.0,3.0,2.5,5,0,0,1.0,0.0,0.0,0.19999999999999996,0,0,1,0.6900000000000001,0.16666666666666666,9,5
106098,0,6,6,0.0,1.0,1.0,1.0,3.0,6,0,0,1.0,0.0,0.0,0.16666666666666663,0,0,1,0.6933333333333334,0.14285714285714285,9,5
112838,0,2,2,0.0,0.0,25.0,0.0,2.0,0,0,0,0.0,0.0,0.0,1.0,-2,0,1,0.5066666666666667,0.3333333333333333,7,8
106129,0,1,1,0.0,0.0,1.0,2.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
106141,0,2,2,1.0,0.0,1.0,4.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,1,0.7400000000000001,0.3333333333333333,9,5
106143,0,1,1,1.0,0.0,1.0,4.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
106137,0,2,2,1.0,0.0,1.0,4.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,1,0.7400000000000001,0.3333333333333333,9,5
106151,0,7,7,1.0,6.0,0.0,0.0,1.0,6,1,0,0.8571428571428571,0.14285714285714285,0.0,0.2857142857142857,0,0,0,0.6057142857142858,0.125,4,5
106231,0,4,4,-251.0,250.0,0.0,0.0,0.01593625498007968,3,2,0,0.75,0.5,0.0,0.5,-3,3,0,0.47531872509960155,0.2,1,4
106212,0,8,8,0.0,4.0,0.0,0.0,1.6,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5445,0.1111111111111111,1,5
106150,0,2,2,1.0,0.0,0.0,0.0,2.0,1,0,0,0.5,0.0,0.0,0.5,-3,0,0,0.54,0.3333333333333333,3,5
106202,0,8,8,0.0,4.0,0.0,0.0,1.6,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5445,0.1111111111111111,1,5
106168,0,1,1,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
